timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-06 11:33:02,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,1,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:33:05,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,1,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:11,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,2,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:14,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,2,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:18,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,2,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:21,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,3,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:24,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,3,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:33:29,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,3,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,2.0,0.0
2026-08-06 11:33:36,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,4,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:33:41,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,4,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,8.0,0.0
2026-08-06 11:33:47,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,4,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:33:54,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,5,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:33:57,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,5,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:01,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,5,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:07,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,6,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,12.0,0.0
2026-08-06 11:34:10,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,6,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:14,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,6,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:21,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,7,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:34:25,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,8,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:28,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,8,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:31,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,8,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:34:38,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,9,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:34:43,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,9,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,8.0,0.0
2026-08-06 11:34:49,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,9,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,4.0,0.0
2026-08-06 11:34:55,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,10,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,18.0,3.0
2026-08-06 11:35:01,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,10,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,13.0,2.0
2026-08-06 11:35:07,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,10,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,16.0,0.0
2026-08-06 11:35:14,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,11,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:35:19,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,11,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:35:23,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,11,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:35:28,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,12,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:35:33,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,12,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,6.0,0.0
2026-08-06 11:35:40,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,12,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,4.0,0.0
2026-08-06 11:35:44,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,13,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:35:49,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,13,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,6.0,0.0
2026-08-06 11:35:52,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,13,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,0.0,0.0
2026-08-06 11:35:58,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,14,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,10.0,0.0
2026-08-06 11:36:04,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,14,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,8.0,0.0
2026-08-06 11:36:10,IA-s02_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-strict_t00_n1,14,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,strict,0.0,12.0,0.0
