timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-20 19:22:41,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,1,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,9.0,0.0
2026-05-20 19:22:46,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,1,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,7.5,0.0
2026-05-20 19:22:49,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,1,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,5.5,0.0
2026-05-20 19:22:56,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,2,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,11.5,0.0
2026-05-20 19:23:01,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,2,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,10.0,3.0
2026-05-20 19:23:04,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,2,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,10.5,0.0
2026-05-20 19:23:09,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,3,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,11.5,0.0
2026-05-20 19:23:15,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,3,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-20 19:23:18,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,3,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,11.5,0.0
2026-05-20 19:23:22,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,4,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,11.0,4.0
2026-05-20 19:23:27,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,4,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,9.0,3.0
2026-05-20 19:23:29,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,4,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,7.5,0.0
2026-05-20 19:23:32,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,4,4,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,5.0,0.0
2026-05-20 19:23:36,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,5,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-20 19:23:42,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,5,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-20 19:23:45,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,5,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,9.5,0.0
2026-05-20 19:23:50,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,6,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,7.0,0.0
2026-05-20 19:23:54,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,6,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,10.0,4.0
2026-05-20 19:23:57,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,6,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-20 19:23:59,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,6,4,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,0.0,0.0
2026-05-20 19:24:05,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,7,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,9.5,0.0
2026-05-20 19:24:11,L-K01_m-qwen3-coder-30b-a3b_sol1_gd1_rs0_bd1_str-neutral_t00_n1_fs2,7,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,1,neutral,0.0,6.5,0.0
