timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-14 13:30:12,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,1,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,14.0,0.0
2026-08-14 13:30:16,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,1,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,4.0,0.0
2026-08-14 13:30:21,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,2,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,3.0,0.0
2026-08-14 13:30:25,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,2,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:30:29,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,2,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:30:33,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,3,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:30:37,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,3,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:30:41,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,3,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,6.0,0.0
2026-08-14 13:30:46,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,4,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
2026-08-14 13:30:52,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,4,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,8.0,0.0
2026-08-14 13:30:57,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,4,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
2026-08-14 13:31:02,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,5,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,14.5,0.0
2026-08-14 13:31:05,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,5,2,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:31:09,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,5,3,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-14 13:31:14,IA201_m-qwen3-coder-30b-a3b_sol1_gd0_rs0_bd1_str-neutral_t00_n1_fs2,6,1,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,1,0,neutral,0.0,16.0,0.0
