timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-23 21:01:22,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,6.5,0.0
2026-05-23 21:01:36,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,6.0,0.0
2026-05-23 21:01:48,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,0.0,0.0
2026-05-23 21:02:04,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,10.5,0.0
2026-05-23 21:02:18,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.0,2.0
2026-05-23 21:02:29,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,9.0,0.0
2026-05-23 21:02:43,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,10.0,0.0
2026-05-23 21:02:53,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,0.0,0.0
2026-05-23 21:03:05,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,10.0,0.0
2026-05-23 21:03:25,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,10.0,4.0
2026-05-23 21:03:38,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.5,0.0
2026-05-23 21:03:47,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,3.0,0.0
2026-05-23 21:03:53,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,4,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,5.0,0.0
2026-05-23 21:04:04,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,5,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,0.0,0.0
2026-05-23 21:04:17,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,5,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,6.0,0.0
2026-05-23 21:04:35,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,5,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,6.0,0.0
2026-05-23 21:04:48,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,6,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,6.0,0.0
2026-05-23 21:05:00,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,6,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.5,2.0
2026-05-23 21:05:18,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,6,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,4.0,0.0
2026-05-23 21:05:23,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,6,4,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,0.0,0.0
2026-05-23 21:05:42,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,7,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,10.5,0.0
2026-05-23 21:05:54,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,7,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,4.0,0.0
2026-05-23 21:06:05,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,7,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,0.0,0.0
2026-05-23 21:06:23,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,8,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.5,0.0
2026-05-23 21:06:41,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,8,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,5.5,0.0
2026-05-23 21:06:51,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,8,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,9.0,0.0
2026-05-23 21:07:05,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,9,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.5,0.0
2026-05-23 21:07:23,L-N02_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-strict_t00_n1,9,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,strict,0.0,7.0,0.0
