timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-15 04:33:54,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,14.0,0.0
2026-08-15 04:34:17,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,1,2,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,11.5,0.0
2026-08-15 04:34:42,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,1,3,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,12.0,0.0
2026-08-15 04:35:06,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,1,4,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,12.0,0.0
2026-08-15 04:35:29,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,1,5,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,12.0,0.0
2026-08-15 04:35:51,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,3.0,0.0
2026-08-15 04:36:13,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,3,2,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,3.0,0.0
2026-08-15 04:36:33,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,3,3,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,2.0,0.0
2026-08-15 04:36:53,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,3,4,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,2.0,0.0
2026-08-15 04:37:14,IA92_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t05_n5,1,3,5,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.5,2.0,0.0
