timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-07-19 05:49:33,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,1,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,7.5,0.0
2026-07-19 05:49:36,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,1,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,6.0,0.0
2026-07-19 05:49:39,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,1,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,2.0,0.0
2026-07-19 05:49:41,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,2,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,8.5,0.0
2026-07-19 05:49:43,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,2,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,8.5,1.0
2026-07-19 05:49:45,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,2,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,8.5,0.0
2026-07-19 05:49:47,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,3,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,10.5,0.0
2026-07-19 05:49:50,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,3,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,6.0,0.0
2026-07-19 05:49:52,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,3,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,10.0,0.0
2026-07-19 05:49:55,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,4,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,8.5,3.0
2026-07-19 05:49:57,L-BD01_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd0_str-neutral_t00_n1,4,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,0,1,neutral,0.0,8.0,0.0
