timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-19 20:18:13,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,7.5,0.0
2026-05-19 20:18:20,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-05-19 20:18:27,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,4.0,0.0
2026-05-19 20:18:35,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 20:18:42,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,8.0,1.0
2026-05-19 20:18:49,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 20:18:58,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,10.5,0.0
2026-05-19 20:19:09,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,6.0,0.0
2026-05-19 20:19:15,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,10.0,0.0
2026-05-19 20:19:23,L-A32_m-qwen2.5-coder-32b_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,1,neutral,0.0,8.0,2.0
