timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-20 19:26:26,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-20 19:26:30,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,6.5,0.0
2026-05-20 19:26:34,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,7.5,0.0
2026-05-20 19:26:38,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,11.0,0.0
2026-05-20 19:26:42,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,9.0,3.0
2026-05-20 19:26:45,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 19:26:50,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-20 19:26:54,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,7.5,0.0
2026-05-20 19:26:57,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 19:27:01,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,12.0,4.0
2026-05-20 19:27:05,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,9.0,3.0
2026-05-20 19:27:09,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,7.5,0.0
2026-05-20 19:27:11,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,4,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,5.0,0.0
2026-05-20 19:27:16,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,6.5,0.0
2026-05-20 19:27:20,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,7.5,0.0
2026-05-20 19:27:24,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,10.5,0.0
2026-05-20 19:27:28,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,7.5,0.0
2026-05-20 19:27:32,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,9.0,3.0
2026-05-20 19:27:36,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,9.0,0.0
2026-05-20 19:27:38,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,4,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,0.0,0.0
2026-05-20 19:27:57,L-M04_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-lenient_t00_n1,8,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,lenient,0.0,8.5,0.0
