timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-16 14:50:38,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,1,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,16.5,0.0
2026-08-16 14:50:49,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,1,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,7.0,0.0
2026-08-16 14:51:01,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:51:09,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:51:18,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:51:24,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,12.5,0.0
2026-08-16 14:51:32,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:51:43,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
2026-08-16 14:51:48,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,14.5,0.0
2026-08-16 14:51:58,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
2026-08-16 14:52:10,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,12.5,0.0
2026-08-16 14:52:23,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,16.5,0.0
2026-08-16 14:52:31,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:52:39,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:52:45,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,18.5,0.0
2026-08-16 14:52:52,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:53:03,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
2026-08-16 14:53:15,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,7,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,12.5,0.0
2026-08-16 14:53:20,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:53:27,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:53:36,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-16 14:53:42,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,9,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,15.5,0.0
2026-08-16 14:53:52,IA118_m-qwen25-72b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,9,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
