timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-19 12:09:35,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,9.0,0.0
2026-05-19 12:09:39,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,1,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,9.5,0.0
2026-05-19 12:09:43,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,1,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,7.5,0.0
2026-05-19 12:09:47,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,1,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,8.5,0.0
2026-05-19 12:09:51,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,1,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,8.0,0.0
2026-05-19 12:09:55,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,5.5,0.0
2026-05-19 12:09:59,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,2,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,4.5,0.0
2026-05-19 12:10:02,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,2,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,6.5,0.0
2026-05-19 12:10:06,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,2,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,5.5,0.0
2026-05-19 12:10:18,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,2,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,4.5,0.0
2026-05-19 12:10:21,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,4.5,0.0
2026-05-19 12:10:25,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,3,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,7.0,0.0
2026-05-19 12:10:29,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,3,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,5.0,0.0
2026-05-19 12:10:33,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,3,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,6.0,0.0
2026-05-19 12:10:37,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,1,3,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,6.5,0.0
2026-05-19 12:10:41,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.5,0.0
2026-05-19 12:10:45,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,1,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
2026-05-19 12:11:01,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,1,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
2026-05-19 12:11:05,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,1,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,9.5,0.0
2026-05-19 12:11:09,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,1,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
2026-05-19 12:11:13,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,7.5,3.0
2026-05-19 12:11:17,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,2,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,8.5,2.0
2026-05-19 12:11:21,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,2,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,8.0,2.0
2026-05-19 12:11:25,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,2,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,8.0,2.5
2026-05-19 12:11:28,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,2,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,7.5,3.0
2026-05-19 12:11:32,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,11.0,0.0
2026-05-19 12:11:35,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,3,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
2026-05-19 12:11:38,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,3,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,11.0,0.0
2026-05-19 12:11:41,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,3,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,11.5,0.0
2026-05-19 12:11:44,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,2,3,5,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.5,0.0
2026-05-19 12:11:48,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,3,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.5,0.0
2026-05-19 12:11:52,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,3,1,2,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
2026-05-19 12:11:56,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,3,1,3,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,11.0,0.0
2026-05-19 12:12:01,L-E02_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t05_n5,3,1,4,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.5,10.0,0.0
