timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-06 19:12:55,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,1,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,12.0,0.0
2026-08-06 19:13:15,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,1,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,2.0,0.0
2026-08-06 19:13:38,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.5,0.0
2026-08-06 19:13:53,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:14:12,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,2,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:14:35,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,3.0,0.0
2026-08-06 19:14:49,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:15:08,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,3,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,2.0,0.0
2026-08-06 19:15:33,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,12.0,0.0
2026-08-06 19:15:57,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,6.0,0.0
2026-08-06 19:16:20,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,4,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,8.0,0.0
2026-08-06 19:16:45,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,12.0,0.0
2026-08-06 19:17:00,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:17:18,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,5,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:17:44,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,16.0,0.0
2026-08-06 19:17:58,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:18:19,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,6,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,2.0,0.0
2026-08-06 19:18:43,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,7,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,5.0,0.0
2026-08-06 19:19:04,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:19:19,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,2,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:19:38,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,8,3,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,0.0,0.0
2026-08-06 19:20:02,IA-n01_m-qwen25-coder-32b_sol1_gd0_rs0_bd1_str-neutral_t00_n1,9,1,1,Qwen/Qwen2.5-Coder-32B-Instruct,1,0,1,0,neutral,0.0,10.0,0.0
