timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-20 15:45:04,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,1,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,9.0,0.0
2026-05-20 15:45:57,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,2,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,8.75,0.0
2026-05-20 15:54:16,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,3,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-20 15:54:36,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,1,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 15:54:47,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,2,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,11.0,4.0
2026-05-20 15:55:09,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,3,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 15:56:15,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,1,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 15:56:44,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,2,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,9.5,3.0
2026-05-20 15:57:17,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,3,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,12.0,0.0
2026-05-20 15:57:39,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,1,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,12.0,4.0
2026-05-20 16:02:21,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,2,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,11.0,4.0
2026-05-20 16:11:56,M02_m-3-flash-preview_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,3,1,gemini-3-flash-preview,1,0,1,1,lenient,0.0,8.5,0.0
