timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-23 21:01:25,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:01:39,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-23 21:01:58,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,1,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,8.5,0.0
2026-05-23 21:02:12,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:02:24,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,10.0,3.0
2026-05-23 21:02:36,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,2,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:02:49,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:03:02,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-23 21:03:13,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,3,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:03:27,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,3.5
2026-05-23 21:03:39,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,10.0,3.0
2026-05-23 21:03:50,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.0,0.0
2026-05-23 21:03:56,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,4,4,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,5.0,0.0
2026-05-23 21:04:19,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-23 21:04:31,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.5,0.0
2026-05-23 21:04:42,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,5,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.0,0.0
2026-05-23 21:04:55,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:05:06,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,10.5,3.0
2026-05-23 21:05:22,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,10.0,0.0
2026-05-23 21:05:26,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,6,4,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,0.0,0.0
2026-05-23 21:05:37,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,7,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:05:50,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,7,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,8.5,0.0
2026-05-23 21:06:01,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,7,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.0,0.0
2026-05-23 21:06:14,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,8,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:06:26,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,8,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,9.0,0.0
2026-05-23 21:06:36,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,8,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:06:49,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,9,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:07:02,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,9,2,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,10.0,0.0
2026-05-23 21:07:12,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,9,3,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,0.0
2026-05-23 21:07:26,L-N03_m-qwen2.5-72b_sol1_gd1_rs0_bd1_str-lenient_t00_n1,10,1,1,Qwen/Qwen2.5-72B-Instruct,1,0,1,1,lenient,0.0,11.5,2.0
