timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-19 00:48:32,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:48:36,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,4.5,0.0
2026-05-19 00:48:40,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,1,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-19 00:48:44,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,10.0,0.0
2026-05-19 00:48:49,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,7.5,3.0
2026-05-19 00:48:52,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,2,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,11.0,0.0
2026-05-19 00:48:56,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,10.0,0.0
2026-05-19 00:49:01,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,5.5,0.0
2026-05-19 00:49:04,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,3,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,11.0,0.0
2026-05-19 00:49:08,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,10.0,4.0
2026-05-19 00:49:12,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,7.5,3.0
2026-05-19 00:49:37,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,4,4,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,5.0,0.0
2026-05-19 00:49:42,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,5,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,4.5,0.0
2026-05-19 00:49:45,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,5,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,5.5,0.0
2026-05-19 00:49:49,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,5,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:50:18,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,6,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,3.0
2026-05-19 00:50:22,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,6,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,6.5,0.0
2026-05-19 00:50:24,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,6,4,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,0.0,0.0
2026-05-19 00:50:28,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,7,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:50:32,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,7,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,4.5,0.0
2026-05-19 00:51:01,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,8,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,7.5,0.0
2026-05-19 00:51:05,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,8,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,5.5,0.0
2026-05-19 00:51:09,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,8,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,11.0,0.0
2026-05-19 00:51:13,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,9,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:51:17,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,9,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,7.5,0.0
2026-05-19 00:51:20,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,9,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,12.0,0.0
2026-05-19 00:51:25,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,10,1,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:51:29,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,10,2,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,8.5,0.0
2026-05-19 00:51:33,L-ANxt_m-qwen3-coder-next_sol1_gd1_rs0_bd1_str-neutral_t00_n1,10,3,1,Qwen/Qwen3-Coder-Next,1,0,1,1,neutral,0.0,9.0,0.0
