timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-08-12 18:10:47,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,1,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:11:04,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,1,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:11:19,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:11:31,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,2,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:11:46,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,2,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:12:02,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:12:13,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,2,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:12:31,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,3,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:12:49,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,4,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:13:02,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,4,2,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:13:21,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,4,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:13:37,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,5,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:13:48,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,5,2,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:14:03,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,5,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:14:20,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,6,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:14:31,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,6,2,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:14:49,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,6,3,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:15:07,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,7,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
2026-08-12 18:15:22,IA59_m-mistral-small-24b_sol1_gd0_rs0_bd1_str-mps2only_t00_n1,8,1,1,mistralai/Mistral-Small-24B-Instruct-2501,1,0,1,0,mps2only,0.0,0.0,0.0
