timestamp,tag,student,question,run,model,use_solution,use_reasoning,use_breakdown,use_guidelines,strictness,temperature,score,bonus
2026-05-20 15:44:22,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,1,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,6.0,0.0
2026-05-20 15:45:46,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,2,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,6.0,0.0
2026-05-20 15:46:54,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,1,3,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,3.0,0.0
2026-05-20 15:50:33,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,1,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,11.5,0.0
2026-05-20 15:56:41,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,2,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,11.0,4.0
2026-05-20 16:02:09,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,2,3,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,12.0,0.0
2026-05-20 16:07:43,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,1,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,12.0,0.0
2026-05-20 16:09:04,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,2,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,8.25,1.5
2026-05-20 16:09:41,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,3,3,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,11.0,0.0
2026-05-20 16:14:15,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,1,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,11.25,4.0
2026-05-20 16:22:01,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,2,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,10.5,3.25
2026-05-20 16:24:00,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,3,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,0.0,0.0
2026-05-20 16:24:06,M01_m-3-flash-preview_sol1_gd1_rs0_bd1_str-strict_t00_n1,4,4,1,gemini-3-flash-preview,1,0,1,1,strict,0.0,5.0,0.0
